卫视频道,#genre#
新疆卫视,http://183.11.239.36:808/hls/65/index.m3u8
湖北卫视,http://111.61.236.247:9081/hls/39/index.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
黑龙江卫视,http://111.61.236.247:9081/hls/34/index.m3u8
贵州卫视,http://111.61.236.247:9081/hls/37/index.m3u8
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
湖南卫视,http://111.61.236.247:9081/hls/24/index.m3u8
深圳卫视,http://111.61.236.247:9081/hls/38/index.m3u8
辽宁卫视,http://111.61.236.247:9081/hls/30/index.m3u8
广西卫视,http://111.61.236.247:9081/hls/44/index.m3u8
东南卫视,https://mgtv.ottiptv.cc/mg/849116810.m3u8?userid=5559462299&sign=51661e4df3c0461839c293bc1164bbec70886787c8c6f947d19a2d54e6db75dc2eaa6223a668005196cb6e6ea05322793fb37846ec595e5b3f99b7676407c959c9d09c5cbda7792a03e6db5856673f3e91&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
北京卫视,http://111.61.236.247:9081/hls/28/index.m3u8
东方卫视,http://111.61.236.247:9081/hls/40/index.m3u8
青海卫视,http://111.61.236.247:9081/hls/49/index.m3u8
河南卫视,https://mgtv.ottiptv.cc/mg/790187291.m3u8?userid=5559462299&sign=d9846476930f280215dc69ee3c102b93a25bf0b11aa29da847b1f0ec13d88c6048dffbfafe7db7eb6ebae62787e6aa82202836dc3f19c2fb6e03693a65c4a9580dc45524f85c487069f223185195af5182&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
浙江卫视,http://183.131.246.250:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8
天津卫视,http://111.61.236.247:9081/hls/29/index.m3u8
河南卫视,http://111.61.236.247:9081/hls/33/index.m3u8
河北卫视,http://111.61.236.247:9081/hls/17/index.m3u8
宁夏卫视,http://111.61.236.247:9081/hls/51/index.m3u8
山东卫视,http://111.61.236.247:9081/hls/31/index.m3u8
江西卫视,http://111.61.236.247:9081/hls/36/index.m3u8
东南卫视,http://36.32.174.67:60080/newlive/live/hls/33/live.m3u8
新疆卫视,http://36.32.174.67:60080/newlive/live/hls/47/live.m3u8
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8
西藏卫视,http://36.32.174.67:60080/newlive/live/hls/48/live.m3u8
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8
江西卫视,https://mgtv.ottiptv.cc/mg/783847495.m3u8?userid=5559462299&sign=2d2bb66f8be33f2a74495fcbc6ee7b401b8a05c9062df9d4d5840e39f85d47ef2811d1c7294f0ce137d9a7193e1b96cd1ebe62b7a2a74073d725f1d3c58bf0073b02388462351c632e395ec8c1d4948e9c&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
河北卫视,http://36.32.174.67:60080/newlive/live/hls/36/live.m3u8
广西卫视,http://36.32.174.67:60080/newlive/live/hls/38/live.m3u8
四川卫视,http://120.238.94.10:9901/tsfile/live/1058_1.m3u8
宁夏卫视,http://36.32.174.67:60080/newlive/live/hls/49/live.m3u8
云南卫视,http://36.32.174.67:60080/newlive/live/hls/45/live.m3u8
海南卫视,http://36.32.174.67:60080/newlive/live/hls/46/live.m3u8
江西卫视,http://36.32.174.67:60080/newlive/live/hls/22/live.m3u8
江苏卫视,https://mgtv.ottiptv.cc/mg/623899368.m3u8?userid=5559462299&sign=17556d1f4ca0e338d752e7b22be07f47a47fdb7976afbdec3273312083e8c7b4af6f73b5ca8b396a12377ea49628d0c63ed73fd5c0d84be842c21f3c1c84e7301773a3896851e3c4b8616a8050ff9d7208&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
广东卫视,http://120.238.94.10:9901/tsfile/live/1008_1.m3u8
安多卫视,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd
兵团卫视,http://183.11.239.36:808/hls/7/index.m3u8
河南卫视,http://120.238.94.10:9901/tsfile/live/1068_1.m3u8
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8
江苏卫视,http://111.61.236.247:9081/hls/26/index.m3u8
广东卫视,http://111.61.236.247:9081/hls/43/index.m3u8
西藏卫视,http://120.238.94.10:9901/tsfile/live/1077_1.m3u8
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
江苏卫视,http://183.11.239.36:808/hls/38/index.m3u8
山东卫视,http://183.131.246.250:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
兵团卫视,https://mgtv.ottiptv.cc/mg/956923145.m3u8?userid=5559462299&sign=42a779c3423899599a6aa47968adb7b8bdaf614ef6cd5331bfb4765587b6ee11c69e0d44097a0039447a239bd82ac4ae8c0089558e731cea4629d03893c5716d763e515d803c5ac8bc37b1f62acfe0f31b&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
东方卫视,https://mgtv.ottiptv.cc/mg/651632648.m3u8?userid=5559462299&sign=f0dd58a4b7649046aaac86ed9538434b0ecc973f13e6eca256fba4a26915e5428e1d7228a13cfd6b6ef69ab40a911e6f55a2647ffdda0097417ce9f282761048d39cd0096066bf21e5b8a73288f1629ca5&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
东方卫视,http://218.92.37.174:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://58.57.40.22:9901/tsfile/live/1043_1.m3u8
海南卫视,https://mgtv.ottiptv.cc/mg/947472502.m3u8?userid=5559462299&sign=1d4e4778df93c0b574af8b70bd7bbab45510f485ca3d33f09af6edda23f9e636f9e0a017ac92fb5edf2bf11a027b437e3b71fc8c68a0a6179f5d12a780bfc37532c9af30ee1991a6a46e1fac3ac1cac7c5&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
宁夏卫视,http://120.238.94.10:9901/tsfile/live/1076_1.m3u8
广东卫视,https://mgtv.ottiptv.cc/mg/608831231.m3u8?userid=5559462299&sign=83053c15b19312cd654288503b04d9617d60dea9502749ab8e36a60bd32d2b785bcedf3ccd834a5e4f4569422f6762ca5a48c48871f6ba6ce0b508410f450f96967a3c4cc8cab72cb578e77cef5e532c4f&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
天津卫视,http://112.46.85.60:8009/hls/44/index.m3u8
湖北卫视,https://mgtv.ottiptv.cc/mg/947472496.m3u8?userid=5559462299&sign=4114b67d3c72353f7b5deeda0112a552ee9adb1253cd8e9f146de36069ab15022900f97aeb5e59abf716235055787738401cf450d65ddc6aaf582f7a371df5bdfd0b152178cbea2f1dae0b612059125805&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
青海卫视,http://120.238.94.10:9901/tsfile/live/1073_1.m3u8
吉林卫视,https://mgtv.ottiptv.cc/mg/947472500.m3u8?userid=5559462299&sign=70d50991decc100340cf401c5f82eb069d69b3f676291216e5757e6a2ded66dc5bac31802abc0c5dbca50ad1283a8896eda10eb614b05c1c62d549e702ec229e5629309122b8e999347122c7b2ccf8fc96&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
陕西卫视,https://mgtv.ottiptv.cc/mg/738910838.m3u8?userid=5559462299&sign=0941d9170aaa0005bf6cca78aaea84f739b6a7aafece8040e9c79db5d63e7889aa048e0b10045f2854e59910facbcc5d79c9dfd3d3b5812d616b2f892d95d3737408d4a18679003393b161b4254136bc43&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
甘肃卫视,http://120.238.94.10:9901/tsfile/live/1079_1.m3u8
青海卫视,https://mgtv.ottiptv.cc/mg/947472506.m3u8?userid=5559462299&sign=a8e9fe37e05c25d0bdbfe84fb4a63fa48a522c9b7af8c4ce896d45089ec3fefcad12c7fbb34618767a608815eb8ba4be066ecada70f156d0235dea7215dc00f5485764167bc39a090b9437dc76f3209db3&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8
东方卫视,http://183.11.239.36:808/hls/114/index.m3u8
湖北卫视,http://120.238.94.10:9901/tsfile/live/1055_1.m3u8
北京卫视,http://39.164.160.249:9901/tsfile/live/0122_1.m3u8
